Emotions,Path
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1082.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1029.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1034.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1069.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1055.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1041.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1010.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1041.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1004.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1048.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1069.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1063.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1012.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1006.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1014.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1015.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1001.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1089.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1007.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1013.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1076.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1083.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1037.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1068.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1040.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1040.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1054.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1068.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1083.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1035.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1028.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1002.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1081.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1023.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1056.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1038.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1042.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1007.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1009.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1042.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1077.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1013.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1021.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1081.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1088.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1060.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1074.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1017.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1016.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1010.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1004.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1049.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1075.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1061.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1080.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1020.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1057.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1012.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1008.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1006.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1062.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1057.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1011.wav
